IRMREFNUMBER|REMITTANCEAMOUNT|REMITTANCEDATE|ADCODE|REMITTANCECURRENCY|IECODE|REMITTERNAME|REMITTERCOUNTRY|PURPOSEOFREMITTANCE|IFSCCODE|INRCREDITAMOUNT|PANNUMBER|BANKREFNUMBER|BANKACCNUM|REMITTANCEISSUEDATE
IRM100041|1000|2025-06-15|0180046|USD|1234567890|Date41|US|P0101|SBIN0001234|82500.25|ABCDE1234F|BR041|ACC00041|20/06/2025
IRM100042|1000|2025-06-15|0180046|USD|1234567890|Date42|US|P0101|SBIN0001234|82500.25|ABCDE1234F|BR042|ACC00042|20/06/2025
IRM100043|1000|2025-06-15|0180046|USD|1234567890|Date43|US|P0101|SBIN0001234|82500.25|ABCDE1234F|BR043|ACC00043|20/06/2025
IRM100044|1000|2025-06-15|0180046|USD|1234567890|Date44|US|P0101|SBIN0001234|82500.25|ABCDE1234F|BR044|ACC00044|20/06/2025
IRM100045|1000|2025-06-15|0180046|USD|1234567890|Date45|US|P0101|SBIN0001234|82500.25|ABCDE1234F|BR045|ACC00045|20/06/2025
IRM100046|1000|15/06/2025|0180046|USD|1234567890|Ifsc46|US|P0101|INVALID|82500.25|ABCDE1234F|BR046|ACC00046|20/06/2025
IRM100047|1000|15/06/2025|0180046|USD|1234567890|Ifsc47|US|P0101|INVALID|82500.25|ABCDE1234F|BR047|ACC00047|20/06/2025
IRM100048|1000|15/06/2025|0180046|USD|1234567890|Ifsc48|US|P0101|INVALID|82500.25|ABCDE1234F|BR048|ACC00048|20/06/2025
IRM100049|1000|15/06/2025|0180046|USD|1234567890|Ifsc49|US|P0101|INVALID|82500.25|ABCDE1234F|BR049|ACC00049|20/06/2025
IRM100050|1000|15/06/2025|0180046|USD|1234567890|Ifsc50|US|P0101|INVALID|82500.25|ABCDE1234F|BR050|ACC00050|20/06/2025
IRM100051|1000|15/06/2025|0180046|USD|1234567890|Pan51|US|P0101|SBIN0001234|82500.25|12345|BR051|ACC00051|20/06/2025
IRM100052|1000|15/06/2025|0180046|USD|1234567890|Pan52|US|P0101|SBIN0001234|82500.25|12345|BR052|ACC00052|20/06/2025
IRM100053|1000|15/06/2025|0180046|USD|1234567890|Pan53|US|P0101|SBIN0001234|82500.25|12345|BR053|ACC00053|20/06/2025
IRM100054|1000|15/06/2025|0180046|USD|1234567890|Pan54|US|P0101|SBIN0001234|82500.25|12345|BR054|ACC00054|20/06/2025
IRM100055|1000|15/06/2025|0180046|USD|1234567890|Pan55|US|P0101|SBIN0001234|82500.25|12345|BR055|ACC00055|20/06/2025
IRM100056|1000|15/06/2025|0180046|USD|1234567890|Purp56|US|P9999|SBIN0001234|82500.25|ABCDE1234F|BR056|ACC00056|20/06/2025
IRM100057|1000|15/06/2025|0180046|USD|1234567890|Purp57|US|P9999|SBIN0001234|82500.25|ABCDE1234F|BR057|ACC00057|20/06/2025
IRM100058|1000|15/06/2025|0180046|USD|1234567890|Purp58|US|P9999|SBIN0001234|82500.25|ABCDE1234F|BR058|ACC00058|20/06/2025
IRM100059|1000|15/06/2025|0180046|USD|1234567890|Purp59|US|P9999|SBIN0001234|82500.25|ABCDE1234F|BR059|ACC00059|20/06/2025
IRM100060|1000|15/06/2025|0180046|USD|1234567890|Purp60|US|P9999|SBIN0001234|82500.25|ABCDE1234F|BR060|ACC00060|20/06/2025
